# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  195       7.438247613782e-10       9.228138185642e-14      -2.949680964008e-12       0.000000000000e+00 
  196       7.458863796241e-10       9.162369069839e-14      -2.795727203623e-12       0.000000000000e+00 
  197       7.478724929890e-10       9.105481021165e-14      -2.638582206610e-12       0.000000000000e+00 
  198       7.497824993418e-10       9.057925815226e-14      -2.478289927472e-12       0.000000000000e+00 
  199       7.516158079237e-10       9.020163715879e-14      -2.314896871339e-12       0.000000000000e+00 
  200       7.533718394944e-10       8.992663536758e-14      -2.148452124410e-12       0.000000000000e+00 
  201       7.550500264777e-10       8.975902702801e-14      -1.979007384398e-12       0.000000000000e+00 
  202       7.566498131079e-10       8.970367311772e-14      -1.806616990976e-12       0.000000000000e+00 
  203       7.581706555757e-10       8.976552195790e-14      -1.631337956218e-12       0.000000000000e+00 
  204       7.596120221738e-10       8.994960982853e-14      -1.453229995044e-12       0.000000000000e+00 
  205       7.609733934434e-10       9.026106158362e-14      -1.272355555665e-12       0.000000000000e+00 
  206       7.622542623202e-10       9.070509126648e-14      -1.088779850026e-12       0.000000000000e+00 
  207       7.634541342799e-10       9.128700272500e-14      -9.025708842507e-13       0.000000000000e+00 
  208       7.645725274847e-10       9.201219022685e-14      -7.137994890842e-13       0.000000000000e+00 
  209       7.656089729288e-10       9.288613907476e-14      -5.225393503385e-13       0.000000000000e+00 
  210       7.665630145851e-10       9.391442622180e-14      -3.288670393357e-13       0.000000000000e+00 
  211       7.674342095505e-10       9.510272088657e-14      -1.328620433523e-13       0.000000000000e+00 
  212       7.682221281922e-10       9.645678516855e-14       6.539320393699e-14       0.000000000000e+00 
  213       7.689263930625e-10       9.798214679556e-14       2.658175290562e-13       0.000000000000e+00 
  214       7.695467982638e-10       9.968309150750e-14       4.683440176821e-13       0.000000000000e+00 
  215       7.700831984299e-10       1.015636037862e-13       6.729078350792e-13       0.000000000000e+00 
  216       7.705354709285e-10       1.036276883613e-13       8.794420487799e-13       0.000000000000e+00 
  217       7.709035161091e-10       1.058793699621e-13       1.087877609295e-12       0.000000000000e+00 
  218       7.711872575511e-10       1.083226930702e-13       1.298143330826e-12       0.000000000000e+00 
  219       7.713866423119e-10       1.109617216710e-13       1.510165871971e-12       0.000000000000e+00 
  220       7.715016411747e-10       1.138005390062e-13       1.723869716442e-12       0.000000000000e+00 
  221       7.715322488972e-10       1.168432473257e-13       1.939177153769e-12       0.000000000000e+00 
  222       7.714784844589e-10       1.200939676398e-13       2.156008260013e-12       0.000000000000e+00 
  223       7.713403913094e-10       1.235568394714e-13       2.374280878480e-12       0.000000000000e+00 
  224       7.711180376170e-10       1.272360206077e-13       2.593910600423e-12       0.000000000000e+00 
  225       7.708115165158e-10       1.311356868530e-13       2.814810745763e-12       0.000000000000e+00 
  226       7.704209463545e-10       1.352600317801e-13       3.036892343791e-12       0.000000000000e+00 
  227       7.699464709444e-10       1.396132664828e-13       3.260064113882e-12       0.000000000000e+00 
  228       7.693882598069e-10       1.441996193278e-13       3.484232446206e-12       0.000000000000e+00 
  229       7.687465084221e-10       1.490233357071e-13       3.709301382437e-12       0.000000000000e+00 
  230       7.680214384769e-10       1.540886777897e-13       3.935172596466e-12       0.000000000000e+00 
  231       7.672132981125e-10       1.593999242742e-13       4.161745375107e-12       0.000000000000e+00 
  232       7.663223621730e-10       1.649613701403e-13       4.388916598812e-12       0.000000000000e+00 
  233       7.653489324533e-10       1.707773264014e-13       4.616580722380e-12       0.000000000000e+00 
  234       7.642933379471e-10       1.768521198566e-13       4.844629755667e-12       0.000000000000e+00 
  235       7.631559350948e-10       1.831900928425e-13       5.072953244295e-12       0.000000000000e+00 
  236       7.619371080321e-10       1.897956029858e-13       5.301438250367e-12       0.000000000000e+00 
  237       7.606372688374e-10       1.966730229549e-13       5.529969333173e-12       0.000000000000e+00 
  238       7.592568536143e-10       2.038263480524e-13       5.758435111753e-12       0.000000000000e+00 
  239       7.577963099621e-10       2.112579931236e-13       5.986748433628e-12       0.000000000000e+00 
  240       7.562561092272e-10       2.189699222794e-13       6.214827390554e-12       0.000000000000e+00 
  241       7.546367508385e-10       2.269640334318e-13       6.442588841186e-12       0.000000000000e+00 
  242       7.529387625474e-10       2.352421572187e-13       6.669948405677e-12       0.000000000000e+00 
  243       7.511627006660e-10       2.438060559285e-13       6.896820460275e-12       0.000000000000e+00 
  244       7.493091503075e-10       2.526574224253e-13       7.123118131915e-12       0.000000000000e+00 
  245       7.473787256246e-10       2.617978790729e-13       7.348753292820e-12       0.000000000000e+00 
  246       7.453720700493e-10       2.712289766605e-13       7.573636555090e-12       0.000000000000e+00 
  247       7.432898565317e-10       2.809521933270e-13       7.797677265306e-12       0.000000000000e+00 
  248       7.411327877798e-10       2.909689334857e-13       8.020783499119e-12       0.000000000000e+00 
  249       7.389015964984e-10       3.012805267495e-13       8.242862055847e-12       0.000000000000e+00 
  250       7.365970456284e-10       3.118882268553e-13       8.463818453075e-12       0.000000000000e+00 
  251       7.342199285863e-10       3.227932105890e-13       8.683556921245e-12       0.000000000000e+00 
  252       7.317710695032e-10       3.339965767102e-13       8.901980398257e-12       0.000000000000e+00 
  253       7.292513234643e-10       3.454993448771e-13       9.118990524061e-12       0.000000000000e+00 
  254       7.266615767479e-10       3.573024545712e-13       9.334487635252e-12       0.000000000000e+00 
  255       7.240027470649e-10       3.694067640220e-13       9.548370759672e-12       0.000000000000e+00 
  256       7.212757837979e-10       3.818130491321e-13       9.760537610999e-12       0.000000000000e+00 
  257       7.184816682408e-10       3.945220024016e-13       9.970884583346e-12       0.000000000000e+00 
  258       7.156214138377e-10       4.075342318533e-13       1.017930674586e-11       0.000000000000e+00 
  259       7.126960664221e-10       4.208502599571e-13       1.038569783730e-11       0.000000000000e+00 
  260       7.097067044567e-10       4.344705225551e-13       1.058995026066e-11       0.000000000000e+00 
  261       7.066544392721e-10       4.483953677860e-13       1.079195507776e-11       0.000000000000e+00 
  262       7.035404153065e-10       4.626250550106e-13       1.099160200381e-11       0.000000000000e+00 
  263       7.003658103445e-10       4.771597537357e-13       1.118877940205e-11       0.000000000000e+00 
  264       6.971318357571e-10       4.919995425396e-13       1.138337427830e-11       0.000000000000e+00 
  265       6.938397367400e-10       5.071444079966e-13       1.157527227561e-11       0.000000000000e+00 
  266       6.904907353354e-10       5.225939806411e-13       1.176436556379e-11       0.000000000000e+00 
  267       6.870858555750e-10       5.383467291933e-13       1.195057699389e-11       0.000000000000e+00 
  268       6.836260893065e-10       5.544007204864e-13       1.213383724487e-11       0.000000000000e+00 
  269       6.801124527001e-10       5.707538769747e-13       1.231407705459e-11       0.000000000000e+00 
