# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       9.692809140410e+09       8.046272995278e-18       4.782429277839e-05       2.026754487380e+14       1.417455626946e+04       1.462378559472e-06       1.373912685840e+14       2.761136781513e-05       2.428721497190e+28       2.266593098007e+21       1.215874706128e+22       3.463959279501e-08       1.679010812393e+28       4.107733752116e+28       4.107733752116e+28       1.369244103194e+28      -1.145229041439e+33       1.053978241836e-04       1.026535755433e-01 
       9.685000610842e+09       8.059252836482e-18       4.786285171576e-05       2.023490295128e+14       1.417455626942e+04       1.463557601853e-06       1.372805861419e+14       2.763362947188e-05       2.420904634751e+28       2.261119605853e+21       1.212938545831e+22       3.463959279501e-08       1.673606900677e+28       4.094512974478e+28       4.094512974478e+28       1.364837178476e+28      -1.140623483988e+33       1.054065438590e-04       1.026450840153e-01 
       9.677198371827e+09       8.072253616108e-18       4.790143975697e-05       2.020231360026e+14       1.417455626938e+04       1.464737594837e-06       1.371699928656e+14       2.765590907708e-05       2.413112930956e+28       2.255659331385e+21       1.210009475933e+22       3.463959279501e-08       1.668220381500e+28       4.081334748031e+28       4.081334748031e+28       1.360444437485e+28      -1.136036447862e+33       1.054152635345e-04       1.026365938923e-01 
       9.669402418298e+09       8.085275367934e-18       4.794006053999e-05       2.016977673606e+14       1.417455626934e+04       1.465918539190e-06       1.370594886832e+14       2.767820664521e-05       2.405346304831e+28       2.250212242685e+21       1.207087479312e+22       3.463959279501e-08       1.662851198885e+28       4.068198935824e+28       4.068198935824e+28       1.356065834572e+28      -1.131467858577e+33       1.054239832099e-04       1.026281051742e-01 
       9.661612745191e+09       8.098318125791e-18       4.797871224582e-05       2.013729227415e+14       1.417455626930e+04       1.467100435679e-06       1.369490735231e+14       2.770052219074e-05       2.397604675663e+28       2.244778307910e+21       1.204172538888e+22       3.463959279501e-08       1.657499297033e+28       4.055105401347e+28       4.055105401347e+28       1.351701324232e+28      -1.126917641950e+33       1.054327028854e-04       1.026196178605e-01 
       9.653829347447e+09       8.111381923563e-18       4.801739487448e-05       2.010486013015e+14       1.417455626926e+04       1.468283285072e-06       1.368387473134e+14       2.772285572817e-05       2.389887963000e+28       2.239357495296e+21       1.201264637620e+22       3.463959279501e-08       1.652164620327e+28       4.042054008527e+28       4.042054008527e+28       1.347350861109e+28      -1.122385724093e+33       1.054414225610e-04       1.026111319509e-01 
       9.646052220010e+09       8.124466795190e-18       4.805611024494e-05       2.007248021978e+14       1.417455626922e+04       1.469467088137e-06       1.367285099826e+14       2.774520727200e-05       2.382196086648e+28       2.233949773155e+21       1.198363758510e+22       3.463959279501e-08       1.646847113326e+28       4.029044621733e+28       4.029044621733e+28       1.343014399991e+28      -1.117872031420e+33       1.054501422365e-04       1.026026474450e-01 
       9.638281357828e+09       8.137572774668e-18       4.809485471924e-05       2.004015245892e+14       1.417455626918e+04       1.470651845643e-06       1.366183614589e+14       2.776757683676e-05       2.374528966670e+28       2.228555109875e+21       1.195469884600e+22       3.463959279501e-08       1.641546720771e+28       4.016077105766e+28       4.016077105766e+28       1.338691895814e+28      -1.113376490635e+33       1.054588619121e-04       1.025941643425e-01 
       9.630516755856e+09       8.150699896046e-18       4.813363193534e-05       2.000787676358e+14       1.417455626915e+04       1.471837558359e-06       1.365083016710e+14       2.778996443697e-05       2.366886523388e+28       2.223173473922e+21       1.192582998974e+22       3.463959279501e-08       1.636263387578e+28       4.003151325866e+28       4.003151325866e+28       1.334383303655e+28      -1.108899028743e+33       1.054675815878e-04       1.025856826430e-01 
       9.622758409049e+09       8.163848193427e-18       4.817243825528e-05       1.997565304991e+14       1.417455626911e+04       1.473024227056e-06       1.363983305473e+14       2.781237008717e-05       2.359268677380e+28       2.217804833835e+21       1.189703084757e+22       3.463959279501e-08       1.630997058841e+28       3.990267147705e+28       3.990267147705e+28       1.330088578740e+28      -1.104439573037e+33       1.054763012634e-04       1.025772023462e-01 
