# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.751684303952e+06       2.462619943665e-10       2.645058746239e-01       6.625756455714e+06       1.399410544347e+04       7.988938088311e-03       2.451326884728e+10       1.526977535232e-01       2.590618231304e+13       1.337805069824e+10       7.176424156407e+10       4.183432630307e-08       1.790932400513e+13       4.390064861043e+13       4.390064861043e+13       1.460516877272e+13      -2.209764301027e+14       2.053744912747e-04       5.704948741061e-02 
       1.750273145815e+06       2.466591370740e-10       2.647190291973e-01       6.615090505413e+06       1.399410523032e+04       7.995379046067e-03       2.449352057844e+10       1.528207945337e-01       2.582280302740e+13       1.334574465460e+10       7.159094137469e+10       4.183432630307e-08       1.785168268138e+13       4.375942239481e+13       4.375942239481e+13       1.455816190293e+13      -2.200879417904e+14       2.053839339375e-04       5.704916625635e-02 
       1.748863124507e+06       2.470569196544e-10       2.649323554506e-01       6.604441729005e+06       1.399410501699e+04       8.001825196647e-03       2.447378821880e+10       1.529439346249e-01       2.573969209875e+13       1.331351662535e+10       7.141805968001e+10       4.183432630307e-08       1.779422687676e+13       4.361865055182e+13       4.361865055182e+13       1.451130632517e+13      -2.192030259946e+14       2.053933769815e-04       5.704884698012e-02 
       1.747454239113e+06       2.474553431266e-10       2.651458535220e-01       6.593810098832e+06       1.399410480349e+04       8.008276544238e-03       2.445407175556e+10       1.530671738763e-01       2.565684866340e+13       1.328136642210e+10       7.124559546945e+10       4.183432630307e-08       1.773695599418e+13       4.347833161947e+13       4.347833161947e+13       1.446460155252e+13      -2.183216683502e+14       2.054028204068e-04       5.704852958312e-02 
       1.746046488717e+06       2.478544085105e-10       2.653595235479e-01       6.583195587284e+06       1.399410458982e+04       8.014733093030e-03       2.443437117591e+10       1.531905123675e-01       2.557427186040e+13       1.324929385690e+10       7.107354773483e+10       4.183432630307e-08       1.767986943845e+13       4.333846414044e+13       4.333846414044e+13       1.441804709962e+13      -2.174438545499e+14       2.054122642140e-04       5.704821406657e-02 
       1.744639872406e+06       2.482541168279e-10       2.655733656666e-01       6.572598166794e+06       1.399410437598e+04       8.021194847216e-03       2.441468646705e+10       1.533139501783e-01       2.549196083160e+13       1.321729874228e+10       7.090191547042e+10       4.183432630307e-08       1.762296661633e+13       4.319904666214e+13       4.319904666214e+13       1.437164248264e+13      -2.165695703437e+14       2.054217084032e-04       5.704790043166e-02 
       1.743234389265e+06       2.486544691020e-10       2.657873800163e-01       6.562017809838e+06       1.399410416197e+04       8.027661810991e-03       2.439501761620e+10       1.534374873883e-01       2.540991472160e+13       1.318538089120e+10       7.073069767294e+10       4.183432630307e-08       1.756624693647e+13       4.306007773663e+13       4.306007773663e+13       1.432538721935e+13      -2.156988015391e+14       2.054311529748e-04       5.704758867961e-02 
       1.741830038381e+06       2.490554663573e-10       2.660015667370e-01       6.551454488938e+06       1.399410394778e+04       8.034133988557e-03       2.437536461058e+10       1.535611240773e-01       2.532813267776e+13       1.315354011708e+10       7.055989334149e+10       4.183432630307e-08       1.750970980941e+13       4.292155592063e+13       4.292155592063e+13       1.427928082906e+13      -2.148315340006e+14       2.054405979291e-04       5.704727881163e-02 
       1.740426818843e+06       2.494571096200e-10       2.662159259653e-01       6.540908176661e+06       1.399410373342e+04       8.040611384117e-03       2.435572743742e+10       1.536848603252e-01       2.524661385018e+13       1.312177623379e+10       7.038950147762e+10       4.183432630307e-08       1.745335464762e+13       4.278347977551e+13       4.278347977551e+13       1.423332283260e+13      -2.139677536496e+14       2.054500432665e-04       5.704697082892e-02 
       1.739024729739e+06       2.498593999177e-10       2.664304578411e-01       6.530378845615e+06       1.399410351889e+04       8.047094001876e-03       2.433610608398e+10       1.538086962120e-01       2.516535739169e+13       1.309008905565e+10       7.021952108529e+10       4.183432630307e-08       1.739718086543e+13       4.264584786726e+13       4.264584786726e+13       1.418751275237e+13      -2.131074464641e+14       2.054594889873e-04       5.704666473269e-02 
       1.737623770158e+06       2.502623382797e-10       2.666451625009e-01       6.519866468457e+06       1.399410330419e+04       8.053581846046e-03       2.431650053751e+10       1.539326318174e-01       2.508436245786e+13       1.305847839743e+10       7.004995117084e+10       4.183432630307e-08       1.734118787908e+13       4.250865876651e+13       4.250865876651e+13       1.414185011231e+13      -2.122505984783e+14       2.054689350918e-04       5.704636052414e-02 
       1.736223939191e+06       2.506659257365e-10       2.668600400866e-01       6.509371017883e+06       1.399410308931e+04       8.060074920839e-03       2.429691078527e+10       1.540566672217e-01       2.500362820697e+13       1.302694407435e+10       6.988079074303e+10       4.183432630307e-08       1.728537510667e+13       4.237191104845e+13       4.237191104845e+13       1.409633443788e+13      -2.113971957829e+14       2.054783815803e-04       5.704605820448e-02 
       1.734825235928e+06       2.510701633202e-10       2.670750907328e-01       6.498892466636e+06       1.399410287426e+04       8.066573230473e-03       2.427733681453e+10       1.541808025049e-01       2.492315380001e+13       1.299548590206e+10       6.971203881301e+10       4.183432630307e-08       1.722974196817e+13       4.223560329290e+13       4.223560329290e+13       1.405096525606e+13      -2.105472245242e+14       2.054878284532e-04       5.704575777491e-02 
       1.733427659460e+06       2.514750520646e-10       2.672903145831e-01       6.488430787502e+06       1.399410265903e+04       8.073076779168e-03       2.425777861260e+10       1.543050377471e-01       2.484293840066e+13       1.296410369667e+10       6.954369439432e+10       4.183432630307e-08       1.717428788545e+13       4.209973408420e+13       4.209973408420e+13       1.400574209537e+13      -2.097006709043e+14       2.054972757107e-04       5.704545923664e-02 
       1.732031208881e+06       2.518805930048e-10       2.675057117740e-01       6.477985953311e+06       1.399410244364e+04       8.079585571147e-03       2.423823616676e+10       1.544293730287e-01       2.476298117532e+13       1.293279727474e+10       6.937575650288e+10       4.183432630307e-08       1.711901228220e+13       4.196430201129e+13       4.196430201129e+13       1.396066448584e+13      -2.088575211810e+14       2.055067233533e-04       5.704516259088e-02 
       1.730635883282e+06       2.522867871775e-10       2.677212824437e-01       6.467557936936e+06       1.399410222807e+04       8.086099610638e-03       2.421870946432e+10       1.545538084298e-01       2.468328129303e+13       1.290156645326e+10       6.920822415698e+10       4.183432630307e-08       1.706391458398e+13       4.182930566763e+13       4.182930566763e+13       1.391573195901e+13      -2.080177616671e+14       2.055161713812e-04       5.704486783882e-02 
       1.729241681759e+06       2.526936356208e-10       2.679370267342e-01       6.457146711296e+06       1.399410201232e+04       8.092618901871e-03       2.419919849259e+10       1.546783440308e-01       2.460383792556e+13       1.287041104967e+10       6.904109637729e+10       4.183432630307e-08       1.700899421822e+13       4.169474365120e+13       4.169474365120e+13       1.387094404792e+13      -2.071813787306e+14       2.055256197947e-04       5.704457498168e-02 
