# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:kappa_b            
       3.167865175658e-03       3.146700000000e+02       6.516633130840e+02       4.316034536446e-04       1.672901469005e-05       9.438548014384e-01       1.578976083854e-05       8.140198727486e+02       2.963989050686e+00       6.103139180186e-11       8.441475186251e-11       1.557701862584e-03 
       3.162880435212e-03       3.151675000000e+02       6.509916253089e+02       4.320706384908e-04       1.679995180576e-05       9.438441732438e-01       1.585653662264e-05       8.154943152140e+02       2.963422385631e+00       6.114196497532e-11       8.455771006933e-11       1.562945413475e-03 
       3.157911357428e-03       3.156650000000e+02       6.503215696350e+02       4.325385879780e-04       1.687111627442e-05       9.438335260595e-01       1.592352516185e-05       8.169684759435e+02       2.962856542095e+00       6.125251716423e-11       8.470063974647e-11       1.568206664660e-03 
       3.152957868600e-03       3.161625000000e+02       6.496531396141e+02       4.330073044804e-04       1.694250874016e-05       9.438228598583e-01       1.599072705231e-05       8.184423553637e+02       2.962291527417e+00       6.136304840093e-11       8.484354101520e-11       1.573485659512e-03 
       3.148019895486e-03       3.166600000000e+02       6.489863288332e+02       4.334767903804e-04       1.701412984946e-05       9.438121746133e-01       1.605814289237e-05       8.199159539030e+02       2.961727348754e+00       6.147355871788e-11       8.498641399583e-11       1.578782441510e-03 
       3.143097365299e-03       3.171575000000e+02       6.483211309148e+02       4.339470480687e-04       1.708598025120e-05       9.438014702973e-01       1.612577328256e-05       8.213892719916e+02       2.961164013083e+00       6.158404814769e-11       8.512925880773e-11       1.584097054246e-03 
       3.138190205708e-03       3.176550000000e+02       6.476575395162e+02       4.344180799439e-04       1.715806059665e-05       9.437907468829e-01       1.619361882558e-05       8.228623100617e+02       2.960601527206e+00       6.169451672308e-11       8.527207556937e-11       1.589429541422e-03 
       3.133298344835e-03       3.181525000000e+02       6.469955483294e+02       4.348898884133e-04       1.723037153947e-05       9.437800043430e-01       1.626168012636e-05       8.243350685470e+02       2.960039897751e+00       6.180496447695e-11       8.541486439830e-11       1.594779946849e-03 
       3.128421711247e-03       3.186500000000e+02       6.463351510809e+02       4.353624758921e-04       1.730291373575e-05       9.437692426500e-01       1.632995779202e-05       8.258075478834e+02       2.959479131175e+00       6.191539144231e-11       8.555762541118e-11       1.600148314452e-03 
       3.123560233955e-03       3.191475000000e+02       6.456763415316e+02       4.358358448037e-04       1.737568784398e-05       9.437584617763e-01       1.639845243194e-05       8.272797485084e+02       2.958919233773e+00       6.202579765231e-11       8.570035872382e-11       1.605534688267e-03 
       3.118713842411e-03       3.196450000000e+02       6.450191134761e+02       4.363099975799e-04       1.744869452509e-05       9.437476616945e-01       1.646716465767e-05       8.287516708612e+02       2.958360211673e+00       6.213618314024e-11       8.584306445116e-11       1.610939112442e-03 
       3.113882466506e-03       3.201425000000e+02       6.443634607429e+02       4.367849366607e-04       1.752193444245e-05       9.437368423767e-01       1.653609508305e-05       8.302233153830e+02       2.957802070846e+00       6.224654793953e-11       8.598574270732e-11       1.616361631238e-03 
       3.109066036563e-03       3.206400000000e+02       6.437093771941e+02       4.372606618967e-04       1.759540815738e-05       9.437260037953e-01       1.660524422551e-05       8.316946839865e+02       2.957244911817e+00       6.235689219378e-11       8.612839447690e-11       1.621802289013e-03 
       3.104264483334e-03       3.211375000000e+02       6.430568567250e+02       4.377371784399e-04       1.766911644597e-05       9.437151459223e-01       1.667461280513e-05       8.331657755912e+02       2.956688642401e+00       6.246721582251e-11       8.627101897401e-11       1.627261130235e-03 
       3.099477738001e-03       3.216350000000e+02       6.424058932639e+02       4.382144891062e-04       1.774305999325e-05       9.437042687298e-01       1.674420145596e-05       8.346365904451e+02       2.956133255212e+00       6.257751884467e-11       8.641361619139e-11       1.632738199513e-03 
       3.094705732169e-03       3.221325000000e+02       6.417564807721e+02       4.386925963336e-04       1.781723947120e-05       9.436933721896e-01       1.681401079969e-05       8.361071290162e+02       2.955578756791e+00       6.268780129571e-11       8.655618625032e-11       1.638233541567e-03 
       3.089948397862e-03       3.226300000000e+02       6.411086132432e+02       4.391715025691e-04       1.789165555431e-05       9.436824562736e-01       1.688404146029e-05       8.375773917741e+02       2.955025153503e+00       6.279806321121e-11       8.669872927113e-11       1.643747201233e-03 
       3.085205667523e-03       3.231275000000e+02       6.404622847035e+02       4.396512102691e-04       1.796630891960e-05       9.436715209536e-01       1.695429406408e-05       8.390473791894e+02       2.954472451548e+00       6.290830462680e-11       8.684124537319e-11       1.649279223463e-03 
       3.080477474008e-03       3.236250000000e+02       6.398174892113e+02       4.401317218995e-04       1.804120024664e-05       9.436605662012e-01       1.702476923969e-05       8.405170917338e+02       2.953920656958e+00       6.301852557822e-11       8.698373467489e-11       1.654829653322e-03 
       3.075763750586e-03       3.241225000000e+02       6.391742208568e+02       4.406130399355e-04       1.811633021753e-05       9.436495919878e-01       1.709546761809e-05       8.419865298805e+02       2.953369775600e+00       6.312872610128e-11       8.712619729371e-11       1.660398535993e-03 
       3.071064430932e-03       3.246200000000e+02       6.385324737620e+02       4.410951668614e-04       1.819169951696e-05       9.436385982850e-01       1.716638983261e-05       8.434556941034e+02       2.952819813183e+00       6.323890623192e-11       8.726863334622e-11       1.665985916775e-03 
       3.066379449125e-03       3.251175000000e+02       6.378922420802e+02       4.415781051712e-04       1.826730883217e-05       9.436275850642e-01       1.723753651892e-05       8.449245848781e+02       2.952270775260e+00       6.334906600613e-11       8.741104294804e-11       1.671591841083e-03 
