# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:kappa_b            
       1.633853443346e-04       6.119500000000e+03       6.739851935923e+01       1.146562300088e+00       1.670668534124e+01      5.311882457826e-288      8.874394879254e-287       1.668142191563e+04       2.725502432117e+00       2.575199674848e-09       3.433600375398e-09       3.775011013188e+03 
       1.633720647656e-04       6.119997500000e+03       6.739358467026e+01       1.146601764081e+00       1.670997655869e+01      4.891484654422e-288      8.173659391256e-287       1.668277785198e+04       2.725502413533e+00       2.575454607488e-09       3.433940279802e-09       3.775754872214e+03 
       1.633587873550e-04       6.120495000000e+03       6.738865071172e+01       1.146641155189e+00       1.671326712154e+01      4.504340189456e-288      7.528224079265e-287       1.668413378832e+04       2.725502408468e+00       2.575709463300e-09       3.434280086027e-09       3.776498828087e+03 
       1.633455121025e-04       6.120992500000e+03       6.738371748347e+01       1.146680473447e+00       1.671655702979e+01      4.147820194541e-288      6.933727283137e-287       1.668548972466e+04       2.725502404941e+00       2.575964242304e-09       3.434619790326e-09       3.777242880764e+03 
       1.633322390073e-04       6.121490000000e+03       6.737878498533e+01       1.146719718890e+00       1.671984628346e+01      3.819503511150e-288      6.386151158558e-287       1.668684566101e+04       2.725502390966e+00       2.576218944519e-09       3.434959388947e-09       3.777987030205e+03 
       1.633189680691e-04       6.121987500000e+03       6.737385321714e+01       1.146758891552e+00       1.672313488257e+01      3.517160288640e-288      5.881794591053e-287       1.668820159735e+04       2.725502378329e+00       2.576473569966e-09       3.435298885631e-09       3.778731276367e+03 
       1.633056992873e-04       6.122485000000e+03       6.736892217873e+01       1.146797991470e+00       1.672642282713e+01      3.238736876738e-288      5.417248242614e-287       1.668955753370e+04       2.725502366933e+00       2.576728118665e-09       3.435638280375e-09       3.779475619208e+03 
       1.632924326613e-04       6.122982500000e+03       6.736399186995e+01       1.146837018679e+00       1.672971011719e+01      2.982341910344e-288      4.989371563038e-287       1.669091347004e+04       2.725502356678e+00       2.576982590637e-09       3.435977573176e-09       3.780220058686e+03 
       1.632791681906e-04       6.123480000000e+03       6.735906229063e+01       1.146875973217e+00       1.673299675278e+01      2.746233492641e-288      4.595271611474e-287       1.669226940638e+04       2.725502335570e+00       2.577236985906e-09       3.436316760284e-09       3.780964594759e+03 
       1.632659058748e-04       6.123977500000e+03       6.735413344060e+01       1.146914855120e+00       1.673628273396e+01      2.528807389865e-288      4.232283545650e-287       1.669362534273e+04       2.725502315400e+00       2.577491304493e-09       3.436655845443e-09       3.781709227387e+03 
